PI (%),H (m),γ (kN/m³),Vs (m/s),αgR (g),PGA (g),PGD (cm)
33,52,19,422,0.9,0.66,29.31
17,63,15,628,0.15,0.2,0.93
57,37,22,447,0.5,0.82,16.61
11,67,13,280,0.85,0.3,28.89
19,94,17,161,0.05,0.06,0.23
27,66,12,601,0.4,0.63,7.03
44,54,20,565,0.55,0.8,18.26
32,86,18,327,0.3,0.25,14.71
16,42,21,140,0.2,0.15,0.35
53,96,19,619,0.05,0.06,0.19
17,62,23,213,0.1,0.09,0.25
10,71,17,250,0.15,0.16,1.34
22,22,14,186,0.35,0.31,24.05
23,93,16,513,1,0.53,36.86
21,81,20,273,0.7,0.18,163.22
7,78,15,319,0.75,0.2,176.76
48,30,24,127,0.95,0.21,37.37
1,20,21,442,0.6,0.74,94.79
6,38,12,134,0.5,0.14,21.03
42,89,18,151,0.2,0.13,0.32
2,61,18,609,0.85,0.64,27.77
28,59,17,376,0.55,0.59,20.14
57,13,13,152,0.95,0.62,36.53
55,88,12,501,1,0.71,38.77
25,95,14,464,0.15,0.21,1.05
51,27,17,512,0.05,0.08,0.21
57,54,17,226,0.6,0.28,121.35
56,17,13,377,0.3,0.32,14.89
12,90,20,453,0.8,0.42,26.4
19,15,15,307,0.3,0.32,14.94
55,21,23,590,0.8,0.87,25.97
17,80,19,289,0.85,0.28,29.27
28,50,21,585,0.7,0.65,109.35
20,40,19,262,0.7,0.35,133.07
27,49,22,503,0.7,0.72,109.62
